"Date","Heure","Latitude","Longitude","Profondeur","Magnitude"
"9/8/2023","22:11:00","30.998","-8.444","8","7.0"
"9/8/2023","22:27:28","30.986","-8.412","5","3.9"
"9/8/2023","22:30:43","30.995","-8.421","3","5.7"
"9/8/2023","22:39:37","30.859","-8.427","2","3.4"
"9/8/2023","22:46:48","30.894","-8.379","2","3.7"
"9/8/2023","22:50:33","31.017","-8.485","5","2.7"
"9/8/2023","22:53:09","30.907","-8.376","2","2.4"
"9/8/2023","22:56:00","30.919","-8.416","3","3.1"
"9/8/2023","23:07:26","30.913","-8.425","2","2.5"
"9/8/2023","23:08:41","30.927","-8.433","2","3.4"
"9/8/2023","23:16:31","30.865","-8.369","2","4.1"
"9/8/2023","23:19:14","30.929","-8.392","9","3.6"
"9/8/2023","23:19:14","30.929","-8.392","9","3.6"
"9/8/2023","23:22:03","30.833","-8.569","2","3.1"
"9/8/2023","23:25:18","30.959","-8.351","2","3.5"
"9/8/2023","23:35:08","30.970","-8.314","2","2.2"
"9/8/2023","23:36:36","30.920","-8.414","2","2.0"
"9/8/2023","23:38:34","30.932","-8.359","1","2.4"
"9/8/2023","23:39:32","31.043","-8.250","9","2.1"
"9/8/2023","23:50:02","30.916","-8.345","2","3.0"
"9/8/2023","23:51:04","30.932","-8.319","2","3.0"
"9/9/2023","0:09:11","30.882","-8.265","14","2.6"
"9/9/2023","0:12:32","30.835","-8.288","6","2.1"
"9/9/2023","0:16:05","30.914","-8.360","2","3.4"
"9/9/2023","2:51:22","30.429","-6.851","2","2.9"
"9/9/2023","3:00:57","30.802","-8.373","8","3.0"
"9/9/2023","3:13:38","30.916","-8.363","4","3.6"
"9/9/2023","3:25:49","30.855","-8.319","2","3.3"
"9/9/2023","3:57:37","30.954","-8.292","2","3.2"
"9/9/2023","4:28:13","31.052","-8.333","8","3.2"
"9/9/2023","5:22:18","31.275","-7.099","50","2.3"
"9/9/2023","5:38:22","30.872","-8.360","50","3.1"
"9/9/2023","5:45:53","30.898","-8.329","0","2.1"
"9/9/2023","6:28:33","30.855","-8.361","5","3.0"
"9/9/2023","6:41:01","30.879","-8.331","6","2.5"
"9/9/2023","7:09:04","30.892","-8.347","4","2.6"
"9/9/2023","7:38:07","30.903","-8.382","3","2.8"
"9/9/2023","7:44:42","30.852","-8.323","7","1.7"
"9/9/2023","7:51:43","30.888","-8.659","7","2.1"
"9/9/2023","7:55:48","30.910","-8.417","7","1.2"
"9/9/2023","8:14:22","30.943","-8.387","3","2.3"
"9/9/2023","8:31:01","30.850","-8.384","8","1.5"
"9/9/2023","8:37:11","30.906","-8.215","8","2.2"
"9/9/2023","8:38:38","30.893","-8.318","0","2.3"
"9/9/2023","8:47:35","30.850","-8.273","0","1.6"
"9/9/2023","8:54:17","30.863","-8.315","8","1.7"
"9/9/2023","8:59:10","30.861","-8.366","7","1.4"
"9/9/2023","9:02:55","30.900","-8.346","4","1.9"
"9/9/2023","9:10:22","30.970","-8.472","5","1.3"
"9/9/2023","9:15:57","30.868","-8.301","6","2.1"
"9/9/2023","9:17:58","30.832","-8.340","6","1.0"
"9/9/2023","9:20:28","30.891","-8.337","5","1.1"
"9/9/2023","9:22:27","30.874","-8.216","5","1.4"
"9/9/2023","9:24:15","30.757","-8.211","7","1.4"
"9/9/2023","9:32:05","30.941","-8.394","5","2.5"
"9/9/2023","9:36:05","30.905","-8.396","10","1.4"
"9/9/2023","9:38:36","31.019","-8.317","5","1.8"
"9/9/2023","9:41:08","30.879","-8.413","6","1.7"
"9/9/2023","9:45:04","30.893","-8.348","2","2.9"
"9/9/2023","9:48:25","31.026","-8.177","5","1.8"
"9/9/2023","9:51:36","30.857","-8.304","3","1.1"
"9/9/2023","9:52:55","30.855","-8.330","6","1.3"
"9/9/2023","9:58:06","30.812","-8.243","4","1.4"
"9/9/2023","9:58:31","30.895","-8.223","4","1.9"
"9/9/2023","10:00:10","30.819","-8.342","7","1.7"
"9/9/2023","10:03:02","30.899","-8.303","2","1.5"
"9/9/2023","10:06:24","30.872","-8.390","3","0.8"
"9/9/2023","10:10:31","30.945","-8.350","3","1.6"
"9/9/2023","10:11:12","30.889","-8.385","7","1.8"
"9/9/2023","10:13:23","30.803","-8.266","2","1.2"
"9/9/2023","10:17:14","30.919","-8.349","4","0.9"
"9/9/2023","10:20:59","30.888","-8.385","6","1.6"
"9/9/2023","10:23:19","31.000","-8.293","8","1.9"
"9/9/2023","10:26:16","30.952","-8.306","8","1.4"
"9/9/2023","10:32:10","30.834","-8.313","8","1.3"
"9/9/2023","10:35:38","30.900","-8.339","8","2.0"
"9/9/2023","10:37:35","31.116","-8.249","10","0.8"
"9/9/2023","10:39:11","30.887","-8.267","7","1.4"
"9/9/2023","10:42:19","30.865","-8.364","7","1.7"
"9/9/2023","10:49:32","30.826","-8.344","6","1.7"
"9/9/2023","10:53:36","30.911","-8.309","7","1.4"
"9/9/2023","11:06:40","30.842","-8.411","8","1.9"
"9/9/2023","11:11:00","30.851","-8.339","8","1.6"
"9/9/2023","11:16:17","30.952","-8.327","5","2.1"
"9/9/2023","11:19:12","30.986","-8.392","7","4.3"
"9/9/2023","11:26:31","30.943","-8.344","2","1.8"
"9/9/2023","11:27:11","30.885","-8.373","5","1.5"
"9/9/2023","11:31:08","30.871","-8.355","3","4.0"
